	SampleID	Compartment	Cultivar	Site	Group	Type	Age	Phylum2	RA
303	RBL40S3	Rhizoplane	Hippophae rhamnoides	AL	RB.L40S	NA	40	Latescibacteria	0.00010597
304	RBL40S4	Rhizoplane	Hippophae rhamnoides	AL	RB.L40S	NA	40	Latescibacteria	0.000424229
309	RJL15S1	Rhizosphere	Hippophae rhamnoides	AL	RJ.L15S	NA	15	Latescibacteria	0.000595482
310	RJL15S2	Rhizosphere	Hippophae rhamnoides	AL	RJ.L15S	NA	15	Latescibacteria	0.000524892
311	RJL15S3	Rhizosphere	Hippophae rhamnoides	AL	RJ.L15S	NA	15	Latescibacteria	0.000729656
312	RJL15S4	Rhizosphere	Hippophae rhamnoides	AL	RJ.L15S	NA	15	Latescibacteria	0.000720673
317	RJL25S1	Rhizosphere	Hippophae rhamnoides	AL	RJ.L25S	NA	25	Latescibacteria	5.66E-05
318	RJL25S2	Rhizosphere	Hippophae rhamnoides	AL	RJ.L25S	NA	25	Latescibacteria	0.000373249
319	RJL25S3	Rhizosphere	Hippophae rhamnoides	AL	RJ.L25S	NA	25	Latescibacteria	0.00062321
320	RJL25S4	Rhizosphere	Hippophae rhamnoides	AL	RJ.L25S	NA	25	Latescibacteria	2.65E-05
325	RJL40S1	Rhizosphere	Hippophae rhamnoides	AL	RJ.L40S	NA	40	Latescibacteria	6.66E-05
326	RJL40S2	Rhizosphere	Hippophae rhamnoides	AL	RJ.L40S	NA	40	Latescibacteria	0.000572456
327	RJL40S3	Rhizosphere	Hippophae rhamnoides	AL	RJ.L40S	NA	40	Latescibacteria	0.000296787
328	RJL40S4	Rhizosphere	Hippophae rhamnoides	AL	RJ.L40S	NA	40	Latescibacteria	0.000212523
333	RL15S1	Endosphere	Hippophae rhamnoides	AL	R.L15S	NA	15	Latescibacteria	4.03E-05
334	RL15S2	Endosphere	Hippophae rhamnoides	AL	R.L15S	NA	15	Latescibacteria	3.08E-05
335	RL15S3	Endosphere	Hippophae rhamnoides	AL	R.L15S	NA	15	Latescibacteria	9.60E-05
336	RL15S4	Endosphere	Hippophae rhamnoides	AL	R.L15S	NA	15	Latescibacteria	0.000205752
341	RL25S1	Endosphere	Hippophae rhamnoides	AL	R.L25S	NA	25	Latescibacteria	0.000240819
342	RL25S2	Endosphere	Hippophae rhamnoides	AL	R.L25S	NA	25	Latescibacteria	0.000118159
343	RL25S3	Endosphere	Hippophae rhamnoides	AL	R.L25S	NA	25	Latescibacteria	5.84E-05
344	RL25S4	Endosphere	Hippophae rhamnoides	AL	R.L25S	NA	25	Latescibacteria	5.13E-05
349	RL40S1	Endosphere	Hippophae rhamnoides	AL	R.L40S	NA	40	Latescibacteria	1.45E-05
350	RL40S2	Endosphere	Hippophae rhamnoides	AL	R.L40S	NA	40	Latescibacteria	0.002081165
351	RL40S3	Endosphere	Hippophae rhamnoides	AL	R.L40S	NA	40	Latescibacteria	1.56E-05
352	RL40S4	Endosphere	Hippophae rhamnoides	AL	R.L40S	NA	40	Latescibacteria	0.000704
353	L151	Soil	Soil	AL	L15	NA	15	Nitrospirae	0.001967729
354	L152	Soil	Soil	AL	L15	NA	15	Nitrospirae	0.001970323
355	L153	Soil	Soil	AL	L15	NA	15	Nitrospirae	0.001614514
356	L154	Soil	Soil	AL	L15	NA	15	Nitrospirae	0.001849949
357	L21	Soil	Soil	AL	L2	NA	2	Nitrospirae	0.012310792
358	L22	Soil	Soil	AL	L2	NA	2	Nitrospirae	0.010957332
359	L23	Soil	Soil	AL	L2	NA	2	Nitrospirae	0.010918433
360	L24	Soil	Soil	AL	L2	NA	2	Nitrospirae	0.001010058
361	L251	Soil	Soil	AL	L25	NA	25	Nitrospirae	0.002047708
362	L252	Soil	Soil	AL	L25	NA	25	Nitrospirae	0.003777539
363	L253	Soil	Soil	AL	L25	NA	25	Nitrospirae	0.002276186
364	L254	Soil	Soil	AL	L25	NA	25	Nitrospirae	0.002827976
365	L401	Soil	Soil	AL	L40	NA	40	Nitrospirae	0.005563768
366	L402	Soil	Soil	AL	L40	NA	40	Nitrospirae	0.009310063
367	L403	Soil	Soil	AL	L40	NA	40	Nitrospirae	0.005377288
368	L404	Soil	Soil	AL	L40	NA	40	Nitrospirae	0.004029595
373	RBL15S1	Rhizoplane	Hippophae rhamnoides	AL	RB.L15S	NA	15	Nitrospirae	0.000812456
374	RBL15S2	Rhizoplane	Hippophae rhamnoides	AL	RB.L15S	NA	15	Nitrospirae	0.001015077
375	RBL15S3	Rhizoplane	Hippophae rhamnoides	AL	RB.L15S	NA	15	Nitrospirae	0.000470658
376	RBL15S4	Rhizoplane	Hippophae rhamnoides	AL	RB.L15S	NA	15	Nitrospirae	0.000324996
