	SampleID	Compartment	Cultivar	Site	Group	Type	Age	Phylum2	RA
349	RJG0C1	Rhizosphere	Stipa bungeana	GE	RJ.G0C	dominant	0	Fibrobacteres	0.000321436
350	RJG0C2	Rhizosphere	Stipa bungeana	GE	RJ.G0C	dominant	0	Fibrobacteres	0.000132179
351	RJG0C3	Rhizosphere	Stipa bungeana	GE	RJ.G0C	dominant	0	Fibrobacteres	0.000225617
352	RJG0C4	Rhizosphere	Stipa bungeana	GE	RJ.G0C	dominant	0	Fibrobacteres	0.000146874
353	RJG15C1	Rhizosphere	Stipa bungeana	GE	RJ.G15C	non-d	15	Fibrobacteres	8.04E-05
354	RJG15C2	Rhizosphere	Stipa bungeana	GE	RJ.G15C	non-d	15	Fibrobacteres	0.000107084
355	RJG15C3	Rhizosphere	Stipa bungeana	GE	RJ.G15C	non-d	15	Fibrobacteres	0.000160004
356	RJG15C4	Rhizosphere	Stipa bungeana	GE	RJ.G15C	non-d	15	Fibrobacteres	6.68E-05
377	RJG5C1	Rhizosphere	Stipa bungeana	GE	RJ.G5C	dominant	5	Fibrobacteres	1.33E-05
378	RJG5C2	Rhizosphere	Stipa bungeana	GE	RJ.G5C	dominant	5	Fibrobacteres	2.67E-05
379	RJG5C3	Rhizosphere	Stipa bungeana	GE	RJ.G5C	dominant	5	Fibrobacteres	0.000340583
380	RJG5C4	Rhizosphere	Stipa bungeana	GE	RJ.G5C	dominant	5	Fibrobacteres	8.06E-05
385	G01	Soil	Soil	GE	G0	Soil	0	Latescibacteria	0.00147247
386	G02	Soil	Soil	GE	G0	Soil	0	Latescibacteria	0.000533224
387	G03	Soil	Soil	GE	G0	Soil	0	Latescibacteria	0.000717784
388	G04	Soil	Soil	GE	G0	Soil	0	Latescibacteria	0.000659839
389	G151	Soil	Soil	GE	G15	Soil	15	Latescibacteria	0.001876938
390	G152	Soil	Soil	GE	G15	Soil	15	Latescibacteria	0.00288398
391	G153	Soil	Soil	GE	G15	Soil	15	Latescibacteria	0.001407296
392	G154	Soil	Soil	GE	G15	Soil	15	Latescibacteria	0.003584951
393	G281	Soil	Soil	GE	G28	Soil	28	Latescibacteria	0.0019663
394	G282	Soil	Soil	GE	G28	Soil	28	Latescibacteria	0.002581473
395	G283	Soil	Soil	GE	G28	Soil	28	Latescibacteria	0.004834551
396	G284	Soil	Soil	GE	G28	Soil	28	Latescibacteria	0.001920892
397	G361	Soil	Soil	GE	G36	Soil	36	Latescibacteria	0.002756896
398	G362	Soil	Soil	GE	G36	Soil	36	Latescibacteria	0.007155749
399	G363	Soil	Soil	GE	G36	Soil	36	Latescibacteria	0.006246825
400	G364	Soil	Soil	GE	G36	Soil	36	Latescibacteria	0.004126855
401	G51	Soil	Soil	GE	G5	Soil	5	Latescibacteria	0.002891148
402	G52	Soil	Soil	GE	G5	Soil	5	Latescibacteria	0.00043269
403	G53	Soil	Soil	GE	G5	Soil	5	Latescibacteria	0.00037715
404	G54	Soil	Soil	GE	G5	Soil	5	Latescibacteria	0.00182749
405	RBG0C1	Rhizoplane	Stipa bungeana	GE	RB.G0C	dominant	0	Latescibacteria	0.000210945
406	RBG0C2	Rhizoplane	Stipa bungeana	GE	RB.G0C	dominant	0	Latescibacteria	0.000304185
407	RBG0C3	Rhizoplane	Stipa bungeana	GE	RB.G0C	dominant	0	Latescibacteria	0.000278116
408	RBG0C4	Rhizoplane	Stipa bungeana	GE	RB.G0C	dominant	0	Latescibacteria	0.000237533
409	RBG15C1	Rhizoplane	Stipa bungeana	GE	RB.G15C	non-d	15	Latescibacteria	0.000319974
410	RBG15C2	Rhizoplane	Stipa bungeana	GE	RB.G15C	non-d	15	Latescibacteria	0.000330732
411	RBG15C3	Rhizoplane	Stipa bungeana	GE	RB.G15C	non-d	15	Latescibacteria	0.000439209
412	RBG15C4	Rhizoplane	Stipa bungeana	GE	RB.G15C	non-d	15	Latescibacteria	0.000253465
433	RBG5C1	Rhizoplane	Stipa bungeana	GE	RB.G5C	dominant	5	Latescibacteria	0.000305957
434	RBG5C2	Rhizoplane	Stipa bungeana	GE	RB.G5C	dominant	5	Latescibacteria	1.33E-05
435	RBG5C3	Rhizoplane	Stipa bungeana	GE	RB.G5C	dominant	5	Latescibacteria	9.27E-05
436	RBG5C4	Rhizoplane	Stipa bungeana	GE	RB.G5C	dominant	5	Latescibacteria	0.000106584
441	RG0C1	Endosphere	Stipa bungeana	GE	R.G0C	dominant	0	Latescibacteria	0.00017204
442	RG0C2	Endosphere	Stipa bungeana	GE	R.G0C	dominant	0	Latescibacteria	9.57E-05
443	RG0C3	Endosphere	Stipa bungeana	GE	R.G0C	dominant	0	Latescibacteria	8.39E-05
444	RG0C4	Endosphere	Stipa bungeana	GE	R.G0C	dominant	0	Latescibacteria	8.12E-05
445	RG15C1	Endosphere	Stipa bungeana	GE	R.G15C	non-d	15	Latescibacteria	1.35E-05
446	RG15C2	Endosphere	Stipa bungeana	GE	R.G15C	non-d	15	Latescibacteria	2.67E-05
447	RG15C3	Endosphere	Stipa bungeana	GE	R.G15C	non-d	15	Latescibacteria	1.55E-05
448	RG15C4	Endosphere	Stipa bungeana	GE	R.G15C	non-d	15	Latescibacteria	0.000103678
469	RG5C1	Endosphere	Stipa bungeana	GE	R.G5C	dominant	5	Latescibacteria	7.29E-05
470	RG5C2	Endosphere	Stipa bungeana	GE	R.G5C	dominant	5	Latescibacteria	0.000313512
471	RG5C3	Endosphere	Stipa bungeana	GE	R.G5C	dominant	5	Latescibacteria	0.00010397
472	RG5C4	Endosphere	Stipa bungeana	GE	R.G5C	dominant	5	Latescibacteria	1.52E-05
477	RJG0C1	Rhizosphere	Stipa bungeana	GE	RJ.G0C	dominant	0	Latescibacteria	0.000147325
478	RJG0C2	Rhizosphere	Stipa bungeana	GE	RJ.G0C	dominant	0	Latescibacteria	0.000118961
479	RJG0C3	Rhizosphere	Stipa bungeana	GE	RJ.G0C	dominant	0	Latescibacteria	0.00050432
480	RJG0C4	Rhizosphere	Stipa bungeana	GE	RJ.G0C	dominant	0	Latescibacteria	2.67E-05
481	RJG15C1	Rhizosphere	Stipa bungeana	GE	RJ.G15C	non-d	15	Latescibacteria	0.000428742
482	RJG15C2	Rhizosphere	Stipa bungeana	GE	RJ.G15C	non-d	15	Latescibacteria	0.000789741
483	RJG15C3	Rhizosphere	Stipa bungeana	GE	RJ.G15C	non-d	15	Latescibacteria	0.00086669
484	RJG15C4	Rhizosphere	Stipa bungeana	GE	RJ.G15C	non-d	15	Latescibacteria	0.000454454
505	RJG5C1	Rhizosphere	Stipa bungeana	GE	RJ.G5C	dominant	5	Latescibacteria	1.33E-05
506	RJG5C2	Rhizosphere	Stipa bungeana	GE	RJ.G5C	dominant	5	Latescibacteria	5.35E-05
507	RJG5C3	Rhizosphere	Stipa bungeana	GE	RJ.G5C	dominant	5	Latescibacteria	0.000218946
508	RJG5C4	Rhizosphere	Stipa bungeana	GE	RJ.G5C	dominant	5	Latescibacteria	4.03E-05
513	G01	Soil	Soil	GE	G0	Soil	0	Chloroflexi	0.004376127
514	G02	Soil	Soil	GE	G0	Soil	0	Chloroflexi	0.004211102
515	G03	Soil	Soil	GE	G0	Soil	0	Chloroflexi	0.004700783
516	G04	Soil	Soil	GE	G0	Soil	0	Chloroflexi	0.004330195
517	G151	Soil	Soil	GE	G15	Soil	15	Chloroflexi	0.004882759
518	G152	Soil	Soil	GE	G15	Soil	15	Chloroflexi	0.003611714
519	G153	Soil	Soil	GE	G15	Soil	15	Chloroflexi	0.007787949
520	G154	Soil	Soil	GE	G15	Soil	15	Chloroflexi	0.002859905
521	G281	Soil	Soil	GE	G28	Soil	28	Chloroflexi	0.005024988
522	G282	Soil	Soil	GE	G28	Soil	28	Chloroflexi	0.00513563
523	G283	Soil	Soil	GE	G28	Soil	28	Chloroflexi	0.003545337
524	G284	Soil	Soil	GE	G28	Soil	28	Chloroflexi	0.00505925
525	G361	Soil	Soil	GE	G36	Soil	36	Chloroflexi	0.003415861
526	G362	Soil	Soil	GE	G36	Soil	36	Chloroflexi	0.004944203
527	G363	Soil	Soil	GE	G36	Soil	36	Chloroflexi	0.006178179
528	G364	Soil	Soil	GE	G36	Soil	36	Chloroflexi	0.005847544
529	G51	Soil	Soil	GE	G5	Soil	5	Chloroflexi	0.001622255
530	G52	Soil	Soil	GE	G5	Soil	5	Chloroflexi	0.003109957
531	G53	Soil	Soil	GE	G5	Soil	5	Chloroflexi	0.003003731
532	G54	Soil	Soil	GE	G5	Soil	5	Chloroflexi	0.001693116
533	RBG0C1	Rhizoplane	Stipa bungeana	GE	RB.G0C	dominant	0	Chloroflexi	0.001779852
534	RBG0C2	Rhizoplane	Stipa bungeana	GE	RB.G0C	dominant	0	Chloroflexi	0.002089615
535	RBG0C3	Rhizoplane	Stipa bungeana	GE	RB.G0C	dominant	0	Chloroflexi	0.001814377
536	RBG0C4	Rhizoplane	Stipa bungeana	GE	RB.G0C	dominant	0	Chloroflexi	0.00307473
537	RBG15C1	Rhizoplane	Stipa bungeana	GE	RB.G15C	non-d	15	Chloroflexi	0.00158654
538	RBG15C2	Rhizoplane	Stipa bungeana	GE	RB.G15C	non-d	15	Chloroflexi	0.001746263
539	RBG15C3	Rhizoplane	Stipa bungeana	GE	RB.G15C	non-d	15	Chloroflexi	0.002715113
540	RBG15C4	Rhizoplane	Stipa bungeana	GE	RB.G15C	non-d	15	Chloroflexi	0.002748096
561	RBG5C1	Rhizoplane	Stipa bungeana	GE	RB.G5C	dominant	5	Chloroflexi	0.002141698
562	RBG5C2	Rhizoplane	Stipa bungeana	GE	RB.G5C	dominant	5	Chloroflexi	0.001857454
563	RBG5C3	Rhizoplane	Stipa bungeana	GE	RB.G5C	dominant	5	Chloroflexi	0.001960706
564	RBG5C4	Rhizoplane	Stipa bungeana	GE	RB.G5C	dominant	5	Chloroflexi	0.002211623
569	RG0C1	Endosphere	Stipa bungeana	GE	R.G0C	dominant	0	Chloroflexi	0.002202113
570	RG0C2	Endosphere	Stipa bungeana	GE	R.G0C	dominant	0	Chloroflexi	0.002249629
571	RG0C3	Endosphere	Stipa bungeana	GE	R.G0C	dominant	0	Chloroflexi	0.001879447
572	RG0C4	Endosphere	Stipa bungeana	GE	R.G0C	dominant	0	Chloroflexi	0.004234136
573	RG15C1	Endosphere	Stipa bungeana	GE	R.G15C	non-d	15	Chloroflexi	0.002870775
574	RG15C2	Endosphere	Stipa bungeana	GE	R.G15C	non-d	15	Chloroflexi	0.002470323
575	RG15C3	Endosphere	Stipa bungeana	GE	R.G15C	non-d	15	Chloroflexi	0.004626263
576	RG15C4	Endosphere	Stipa bungeana	GE	R.G15C	non-d	15	Chloroflexi	0.0036057
597	RG5C1	Endosphere	Stipa bungeana	GE	R.G5C	dominant	5	Chloroflexi	0.001997871
